('Barrie Youngfellow', '/wiki/Barrie_Youngfellow')
('Katee Sackhoff', '/wiki/Katee_Sackhoff')
('Elle Fanning', '/wiki/Elle_Fanning')
('Morgan Saylor', '/wiki/Morgan_Saylor')
('Gale Sondergaard', '/wiki/Gale_Sondergaard')
('Denise Dowse', '/wiki/Denise_Dowse')
('Fairuza Balk', '/wiki/Fairuza_Balk')
('Geraldine Page', '/wiki/Geraldine_Page')
('JoBeth Williams', '/wiki/JoBeth_Williams')
('Ashanti (singer)', '/wiki/Ashanti_(singer)')
('Shannen Doherty', '/wiki/Shannen_Doherty')
('Lauren Graham', '/wiki/Lauren_Graham')
('Meagan Good', '/wiki/Meagan_Good')
('Tori Spelling', '/wiki/Tori_Spelling')
('Estella Warren', '/wiki/Estella_Warren')
('Amber Heard', '/wiki/Amber_Heard')
('Sonya Eddy', '/wiki/Sonya_Eddy')
('Patty McCormack', '/wiki/Patty_McCormack')
('Callie Thorne', '/wiki/Callie_Thorne')
('Haylie Duff', '/wiki/Haylie_Duff')
('Mischa Barton', '/wiki/Mischa_Barton')
('Khandi Alexander', '/wiki/Khandi_Alexander')
('Kathryn Erbe', '/wiki/Kathryn_Erbe')
('Laura Linney', '/wiki/Laura_Linney')
('Jane Krakowski', '/wiki/Jane_Krakowski')
('Erica Leerhsen', '/wiki/Erica_Leerhsen')
('Siobhan Fallon Hogan', '/wiki/Siobhan_Fallon_Hogan')
('Shawnee Smith', '/wiki/Shawnee_Smith')
('Emily Warfield', '/wiki/Emily_Warfield')
('Diana Scarwid', '/wiki/Diana_Scarwid')
('Susan Dey', '/wiki/Susan_Dey')
('Marie Harmon', '/wiki/Marie_Harmon')
('Pauley Perrette', '/wiki/Pauley_Perrette')
('Heather Mazur', '/wiki/Heather_Mazur')
('Constance Talmadge', '/wiki/Constance_Talmadge')
('Lio Tipton', '/wiki/Lio_Tipton')
('Teresa Wright', '/wiki/Teresa_Wright')
('Holland Taylor', '/wiki/Holland_Taylor')
('Anne Haney', '/wiki/Anne_Haney')
('Nancy Valen', '/wiki/Nancy_Valen')
('Elizabeth Wilson', '/wiki/Elizabeth_Wilson')
('Justine Bateman', '/wiki/Justine_Bateman')
('Olivia Hack', '/wiki/Olivia_Hack')
('Alicia Keys', '/wiki/Alicia_Keys')
('Heather Locklear', '/wiki/Heather_Locklear')
('Janice Rule', '/wiki/Janice_Rule')
('Blanche Baker', '/wiki/Blanche_Baker')
('Sandra Giles', '/wiki/Sandra_Giles')
('Kim Hunter', '/wiki/Kim_Hunter')
('Diane Varsi', '/wiki/Diane_Varsi')
('Erin Daniels', '/wiki/Erin_Daniels')
('Ann Dowd', '/wiki/Ann_Dowd')
('Wendy Robie', '/wiki/Wendy_Robie')
('Brooke Adams (actress)', '/wiki/Brooke_Adams_(actress)')
('Gunilla Hutton', '/wiki/Gunilla_Hutton')
('Laurie Walters', '/wiki/Laurie_Walters')
('Melissa Benoist', '/wiki/Melissa_Benoist')
('Jaclyn Smith', '/wiki/Jaclyn_Smith')
('Ally Sheedy', '/wiki/Ally_Sheedy')
('Ruth Warrick', '/wiki/Ruth_Warrick')
('Eva Amurri', '/wiki/Eva_Amurri')
('Sandra Bullock', '/wiki/Sandra_Bullock')
('Maeve McGuire', '/wiki/Maeve_McGuire')
('Chase Masterson', '/wiki/Chase_Masterson')
('Erika Christensen', '/wiki/Erika_Christensen')
('Tippi Hedren', '/wiki/Tippi_Hedren')
('Gage Golightly', '/wiki/Gage_Golightly')
('Tonye Patano', '/wiki/Tonye_Patano')
('Cynthia Harris', '/wiki/Cynthia_Harris')
('Dominique Swain', '/wiki/Dominique_Swain')
('Gia Crovatin', '/wiki/Gia_Crovatin')
('Karen Black', '/wiki/Karen_Black')
('Jane Badler', '/wiki/Jane_Badler')
('Linda Blair', '/wiki/Linda_Blair')
('Brittany Murphy', '/wiki/Brittany_Murphy')
('Bebe Daniels', '/wiki/Bebe_Daniels')
('Navi Rawat', '/wiki/Navi_Rawat')
('Josie Loren', '/wiki/Josie_Loren')
('Penelope Milford', '/wiki/Penelope_Milford')
('Debra Wilson', '/wiki/Debra_Wilson')
('Lori Beth Denberg', '/wiki/Lori_Beth_Denberg')
('Laura Kightlinger', '/wiki/Laura_Kightlinger')
('Shelley Hack', '/wiki/Shelley_Hack')
('Carmen Zapata', '/wiki/Carmen_Zapata')
('Lori Heuring', '/wiki/Lori_Heuring')
('Traci Lords', '/wiki/Traci_Lords')
('Wendy Schaal', '/wiki/Wendy_Schaal')
('Lorraine Bracco', '/wiki/Lorraine_Bracco')
('May McAvoy', '/wiki/May_McAvoy')
('Christian Serratos', '/wiki/Christian_Serratos')
('Dinah Manoff', '/wiki/Dinah_Manoff')
('Zoe Lister-Jones', '/wiki/Zoe_Lister-Jones')
('Dorothy McGuire', '/wiki/Dorothy_McGuire')
('Ashley Benson', '/wiki/Ashley_Benson')
('Stephanie Niznik', '/wiki/Stephanie_Niznik')
('Carolyn Jones', '/wiki/Carolyn_Jones')
('Judy Pace', '/wiki/Judy_Pace')
('Halston Sage', '/wiki/Halston_Sage')
('Ella Raines', '/wiki/Ella_Raines')
('Kim Richards', '/wiki/Kim_Richards')
('Cindy Pickett', '/wiki/Cindy_Pickett')
('Jane Cowl', '/wiki/Jane_Cowl')
('Addison Timlin', '/wiki/Addison_Timlin')
('Leslie Easterbrook', '/wiki/Leslie_Easterbrook')
('Maureen Stapleton', '/wiki/Maureen_Stapleton')
('Joely Fisher', '/wiki/Joely_Fisher')
('Sasha Pieterse', '/wiki/Sasha_Pieterse')
('Elizabeth Taylor', '/wiki/Elizabeth_Taylor')
('Grace Park (actress)', '/wiki/Grace_Park_(actress)')
('Edie Falco', '/wiki/Edie_Falco')
('Melanie Griffith', '/wiki/Melanie_Griffith')
('Carlin Glynn', '/wiki/Carlin_Glynn')
('Melora Walters', '/wiki/Melora_Walters')
('Shelley Smith (actress)', '/wiki/Shelley_Smith_(actress)')
('Annie Potts', '/wiki/Annie_Potts')
('Wendy Williams', '/wiki/Wendy_Williams')
('Rosalind Cash', '/wiki/Rosalind_Cash')
('Vanessa Bell Calloway', '/wiki/Vanessa_Bell_Calloway')
('Tammy Locke', '/wiki/Tammy_Locke')
